family	system	experiment_id	n_queries_with_sidecar	Recall@10	Recall@100	NDCG@10	MAP	MAP@100	T3_umbrela_mean	T3_umbrela_mean_grade	T3_erag_mean	T3_ragas_wa_mean	T2_umbrela_NDCG@10	T2_umbrela_MAP@100
sparse	bm25_anchor	bm25_anchor_test	0	0.1909901806283385	0.4901719260271891	0.17797822509114095		0.14526462205360222	0.2826388888888889	0.8479166666666667	0.06458333333333334	0.5370775233182343	0.7574606228156896	0.7267711840628507
sparse	bm25_l_lemmatize	bm25_l_lemmatize_test	0	0.17483884901648059	0.42000962000962	0.1008314633246989		0.06123769918184599	0.24930555555555556	0.7479166666666667	0.037500000000000006	0.6070174089942257	0.7280652672086855	0.678842316059215
sparse	bm25_lemmatize_concat_2x	bm25_lemmatize_concat_2x_test	0	0.26584532670058986	0.5267402249310144	0.20450548238800906		0.14572133124943368	0.3444444444444445	1.0333333333333334	0.05833333333333333	0.6577814684761217	0.8100350059863475	0.7981613789420089
sparse	bm25_lemmatize_text_only	bm25_lemmatize_text_only_test	0	0.22564895508974456	0.5402928881547302	0.1905807014522892		0.14053499032583996	0.3354166666666667	1.00625	0.05625	0.6664251923618411	0.798527350027873	0.7822896654803898
sparse	bm25_none_concat_2x	bm25_none_concat_2x_test	0	0.21689957216273004	0.4931163135110504	0.1876547588901729		0.14777885202245447	0.2888888888888889	0.8666666666666667	0.0625	0.5568133568895861	0.7327134220377104	0.6999414280115338
sparse	bm25_plus_lemmatize	bm25_plus_lemmatize_test	0	0.22491796093769775	0.5395618940026835	0.1966000393566729		0.15075186732936627	0.33194444444444443	0.9958333333333333	0.06041666666666667	0.6347200176229403	0.7967653470651564	0.7709625213897286
sparse	bm25_stem_text_only	bm25_stem_text_only_test	0	0.2671876186678818	0.5531235759854182	0.19596312359059165		0.13578689891961424	0.34722222222222227	1.0416666666666667	0.06875	0.661553110814218	0.8156305732143275	0.818492998263135
sparse	bm25_tuned_k11.5_b0.25	bm25_tuned_k11.5_b0.25_test	0	0.2718809333940913	0.5146037442090073	0.22809315309226696		0.1891336113330522	0.3638888888888889	1.0916666666666666	0.08333333333333333	0.6874356503674227	0.8298135659290876	0.8154792578682707
sparse	fts5_default	fts5_default_test	0	0.20599438938254724	0.517898360168097	0.16644162115330177		0.12733110834956782	0.30069444444444443	0.9020833333333333	0.037500000000000006	0.5239289946154965	0.8051290386024806	0.7562174298731837
sparse	tfidf_lemmatize_concat_2x	tfidf_lemmatize_concat_2x_test	0	0.1780324390521759	0.5178648167135009	0.14427662622793785		0.10240162326378904	0.2965277777777778	0.8895833333333333	0.04583333333333334	0.5650661867584109	0.7850319042633731	0.7566691435447636
sparse	tfidf_lemmatize_text_only	tfidf_lemmatize_text_only_test	0	0.14202053429027114	0.49325388914204704	0.12089483176372358		0.0749308199003748	0.2736111111111111	0.8208333333333333	0.04374999999999999	0.5211564035160351	0.7730026401931597	0.7439609031161715
sparse	tfidf_none_text_only	tfidf_none_text_only_test	0	0.12193955532771322	0.4833562757904863	0.09372803293833415		0.06606747077803717	0.23124999999999998	0.69375	0.03333333333333333	0.4450072337823148	0.7181641819204921	0.648375059707525
