doc_id,n_relevant_q,n_chunks,n_unique_bsard_in_pdf,pool_frac_of_corpus,weight_coverage,fused/lenient r@10,fused/lenient r@100,fused/lenient mrr
1804_03_21_1804032150,265,626,437,0.3195,ok=0 warn=225 miss=522,0.6293302044717138,0.9415123712765222,0.5296637080397733
1867_06_08_1867060850,106,711,642,0.2813,ok=0 warn=192 miss=648,0.4050233833252701,0.7315581300251112,0.3964782908617366
1967_10_10_1967101055,219,854,800,0.2342,ok=0 warn=168 miss=1004,0.4370935381209354,0.7990621757745044,0.4399976865929738
1967_10_10_1967101056,87,419,327,0.4773,ok=0 warn=61 miss=338,0.4710306330088544,0.9742616729912555,0.3939297831176605
2003_07_17_2013A31614,136,450,237,0.4444,ok=0 warn=144 miss=511,0.8145833333333333,0.9166666666666666,0.6567299469856003
